,Unnamed: 0,date,text,GPE,gpe,country,score
10434,10434,2013/05/25_08:22,#MemorialDay,[],,,
3457,3457,2015/04/24_13:43,Read about the Obama administration's new plans to help: http://ofa.bo/a4VpÂ  #ActOnClimate,[],,,
1001,1001,2016/06/30_17:05,Add your voice to call on Congress to #DisarmHate.,[],,,
6280,6280,2014/04/24_09:18,Want to help make immigration reform a reality?,[],,,
11340,11340,2013/02/12_18:51,"""pic.twitter.com/zUMDr1TG",[],,,
9112,9112,2013/09/20_10:19,Let's get this straight: Take the opportunity for affordable health care away from millions of people #OrTheyShutDownTheGovernment?,[],,,
2371,2371,2015/10/07_11:54,http://ofa.bo/g9QzÂ,[],,,
8886,8886,2013/10/06_13:18,@SpeakerBoehner: #JustVote.,[],,,
2889,2889,2015/07/14_14:27,â€”President Obama,[],,,
396,396,2017/01/22_10:07,I read letters like these every single day.,[],,,
1175,1175,2016/05/24_13:20,Don't pass this upâ€”enter now: http://ofa.bo/iAEWÂ pic.twitter.com/OgOyee6i4i,[],,,
1093,1093,2016/06/09_17:43,ET.,[],,,
1494,1494,2016/03/19_12:45,â€”President Obamahttp://ofa.bo/j9yPÂ,[],,,
770,770,2016/08/20_10:08,Weâ€™ve protected more than 265 million acres of public lands and waters.,[],,,
9023,9023,2013/09/26_12:04,Chip in $5 and help fight for the agenda Americans voted for in 2012: http://OFA.BO/iYkbkvÂ,[],,,
6152,6152,2014/05/09_07:34,Add your name to show your support:http://ofa.bo/gdqÂ,[],,,
83,83,2018/12/29_08:15,As the year winds down and we look toward 2019 Iâ€™m asking you to make a commitment: find something you want to change in your community and take the first step toward changing it.,[],,,
7261,7261,2014/02/14_17:18,This is something that I'm very committed to.,[],,,
6093,6093,2014/05/14_14:54,Retweet if you think health care repealers need to stop trying to take health care benefits away from millions.,[],,,
412,412,2016/11/03_14:02,There are a lot of plans out there.,[],,,
4841,4841,2014/10/13_08:59,This is a new record-breaking level: In 2013 vehicle mileage averaged 24.1 miles per gallon.,[],,,
3639,3639,2015/03/30_12:09,Enter today: http://ofa.bo/q4QaÂ pic.twitter.com/sy3HPJzmes,[],,,
10082,10082,2013/06/25_11:20,We need to build smarter more resilient infrastructure.,[],,,
1799,1799,2016/01/13_11:28,You don't want to miss it: http://ofa.bo/b5X5Â pic.twitter.com/9iqaRMiZ92,[],,,
5169,5169,2014/08/28_13:09,Happening now: President Obama is delivering a statement.,[],,,
764,764,2016/08/22_12:31,The Supreme Court isn't some partisan football to be kicked around.,[],,,
1724,1724,2016/01/26_13:54,Last night President Obama banned the use of solitary confinement for juveniles in federal prisons.,[],,,
2188,2188,2015/11/12_08:38,Be covered this winterâ€”check out your options now: http://ofa.bo/g9T3Â  #GetCoveredpic.twitter.com/KZNnjQaIJE,[],,,
2739,2739,2015/08/03_10:05,Tune in at 2:15 p.m.,[],,,
11305,11305,2013/02/12_19:30,We have an obligation to try: #TheyDeserveAVotepic.twitter.com/OJEn963P,[],,,
5430,5430,2014/07/22_09:48,â€”President Obama #ReadyToWork,[],,,
10488,10488,2013/05/15_09:18,This week #SecKerry meets with the Arctic Council to discuss climate change.,[],,,
2257,2257,2015/11/05_06:47,Find out more: http://ofa.bo/j9R0Â  #LeadOnTrade,[],,,
9677,9677,2013/07/30_09:04,ET: http://OFA.BO/usKXMWÂ,[],,,
4573,4573,2014/11/20_13:57,Ready for #ImmigrationAction.pic.twitter.com/zCMOTGRLsJ,[],,,
9807,9807,2013/07/23_11:23,http://OFA.BO/oH4wP3Â,[],,,
2030,2030,2015/12/18_14:49,Take in the beauty.,[],,,
3330,3330,2015/05/20_09:05,â€”President Obama to the U.S. Coast Guard Academy graduates,[],,,
355,355,2017/08/17_12:15,Americans will always stand with our Spanish friends.,[],,,
6107,6107,2014/05/14_10:37,Here's #WhatRepealMeans: Millions would lose access to affordable health care.,[],,,
3041,3041,2015/07/01_11:51,â€”President Obama #ACAWorks,[],,,
